NDB_No,Seq,Amount,Msre_Desc,Gm_Wgt,Num_Data_Pts,Std_Dev
"01044","2",1.0000000000000000e+00,"cup, shredded",1.1300000000000000e+02,,
"01044","3",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01044","4",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01044","5",1.0000000000000000e+00,"slice (3/4 oz)",2.1000000000000000e+01,,
"01045","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01045","2",1.0000000000000000e+00,"package (8 oz)",2.2700000000000000e+02,,
"01046","1",1.0000000000000000e+00,"cup",1.1300000000000000e+02,,
"01046","2",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01046","3",1.0000000000000000e+00,"slice (3/4 oz)",2.1000000000000000e+01,,
"01046","4",1.0000000000000000e+00,"package (8 oz)",2.2700000000000000e+02,,
"01047","1",1.0000000000000000e+00,"oz",2.8350000000000001e+01,,
"01047","2",1.0000000000000000e+00,"package (8 oz)",2.2700000000000000e+02,,
"01048","1",1.0000000000000000e+00,"cup, diced",1.4000000000000000e+02,,
"01048","2",1.0000000000000000e+00,"cup",2.4400000000000000e+02,,
"01048","3",1.0000000000000000e+00,"jar (5 oz)",1.2800000000000000e+02,,
"01048","4",1.0000000000000000e+00,"cubic inch",1.8000000000000000e+01,,
"01048","5",1.0000000000000000e+00,"jar (5 oz)",1.4200000000000000e+02,,
"01048","6",1.0000000000000000e+00,"slice",3.4000000000000000e+01,,
"01048","7",1.0000000000000000e+00,"slice, thin",1.4000000000000000e+01,,
"01049","1",1.0000000000000000e+00,"fl oz",3.0199999999999999e+01,,
"01049","2",1.0000000000000000e+00,"tbsp",1.5000000000000000e+01,,
"01049","3",1.0000000000000000e+00,"cup",2.4200000000000000e+02,,
"01049","4",1.0000000000000000e+00,"container, individual (.5 fl oz)",1.5000000000000000e+01,,
"01050","1",1.0000000000000000e+00,"fl oz",3.0000000000000000e+01,,
"01050","2",1.0000000000000000e+00,"tbsp",1.5000000000000000e+01,,
"01050","3",1.0000000000000000e+00,"cup",2.4000000000000000e+02,,
"01050","4",1.0000000000000000e+00,"container, individual",1.1100000000000000e+01,,
